Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,71.650002,72.040001,71.250000,71.559998,68.808144,2329300
2017-12-12,71.489998,72.029999,70.940002,71.449997,68.702370,4501500
2017-12-13,71.800003,72.120003,71.059998,71.190002,68.452393,3129000
2017-12-14,71.650002,72.790001,71.650002,71.809998,69.048538,4694100
2017-12-15,72.050003,72.300003,71.070000,72.080002,69.308159,8291000
2017-12-18,72.370003,72.470001,71.720001,71.870003,69.106232,3079000
2017-12-19,71.800003,72.440002,71.370003,71.930000,69.163925,2679900
2017-12-20,72.489998,72.769997,71.949997,72.709999,69.913925,3330500
2017-12-21,73.440002,73.860001,72.320000,72.400002,69.615860,4740500
2017-12-22,71.650002,72.440002,71.500000,71.699997,68.942772,5831100
2017-12-26,71.559998,71.919998,71.120003,71.239998,68.500465,2071900
2017-12-27,71.629997,71.629997,71.080002,71.199997,68.461998,2593600
2017-12-28,71.269997,71.529999,70.949997,71.389999,68.644707,1927000
2017-12-29,71.379997,71.709999,71.010002,71.019997,68.288925,2212200
2018-01-02,71.160004,71.330002,70.540001,70.949997,68.221603,3068600
2018-01-03,71.180000,71.769997,70.900002,71.550003,68.798538,4317100
2018-01-04,71.949997,72.970001,71.860001,72.680000,69.885094,3444300
2018-01-05,73.110001,73.589996,72.760002,73.300003,70.481247,2913200
2018-01-08,73.160004,73.660004,73.010002,73.370003,70.548561,3305400
2018-01-09,73.199997,73.629997,73.199997,73.459999,70.635086,3018300
2018-01-10,73.239998,74.019997,73.199997,73.970001,71.125473,3485800
2018-01-11,73.980003,74.199997,73.620003,74.010002,71.163933,3981300
2018-01-12,74.099998,74.849998,73.889999,74.559998,71.692802,3816300
2018-01-16,75.449997,75.779999,74.419998,74.730003,71.856262,3547800
2018-01-17,75.150002,76.029999,75.099998,75.839996,72.923553,4169500
2018-01-18,77.000000,77.139999,76.110001,76.750000,73.798576,5518200
2018-01-19,76.989998,77.379997,76.779999,77.290001,74.317802,3178700
2018-01-22,77.389999,78.339996,77.190002,77.959999,74.962051,3843600
2018-01-23,77.639999,78.779999,77.550003,78.260002,75.250511,2732700
2018-01-24,78.540001,78.949997,78.110001,78.449997,75.433205,3655900
2018-01-25,78.720001,78.830002,77.720001,77.949997,74.952431,2741800
2018-01-26,78.220001,78.529999,77.680000,78.430000,75.413979,2425200
2018-01-29,78.050003,78.419998,77.779999,78.150002,75.144737,2734800
2018-01-30,78.169998,78.739998,77.519997,77.760002,74.769730,2803900
2018-01-31,77.580002,78.230003,77.320000,77.980003,74.981277,3222800
2018-02-01,77.910004,78.440002,77.089996,77.500000,74.519737,3130800
2018-02-02,75.809998,77.080002,75.699997,75.720001,72.808189,5256400
2018-02-05,75.650002,76.589996,73.250000,73.290001,70.471634,4318200
2018-02-06,72.239998,74.269997,71.949997,73.900002,71.058189,6519000
2018-02-07,76.629997,79.279999,76.500000,76.519997,73.577408,7112600
2018-02-08,76.709999,78.080002,75.089996,75.160004,72.269707,6974600
2018-02-09,75.839996,76.820000,74.059998,76.290001,73.356277,6550200
2018-02-12,76.510002,77.900002,76.419998,77.430000,74.452423,5642800
2018-02-13,76.900002,78.300003,76.660004,78.110001,75.106277,4123400
2018-02-14,77.430000,80.129997,77.379997,79.820000,76.750519,4773500
2018-02-15,80.290001,81.370003,79.330002,81.370003,78.240921,3368100
2018-02-16,81.489998,81.870003,80.650002,80.949997,77.837051,4780700
2018-02-20,80.690002,82.180000,80.610001,81.540001,78.404373,3913100
2018-02-21,81.470001,83.559998,81.349998,81.800003,78.847778,4607900
2018-02-22,82.250000,82.570000,81.370003,81.610001,78.664635,3357600
2018-02-23,82.320000,82.529999,80.809998,82.529999,79.551422,3540700
2018-02-26,83.309998,83.339996,82.269997,82.970001,79.975555,2875700
2018-02-27,83.220001,83.790001,82.250000,82.510002,79.532150,2914900
2018-02-28,82.980003,83.550003,81.860001,82.019997,79.059822,2613900
2018-03-01,82.239998,82.500000,80.110001,80.650002,77.739281,3739000
2018-03-02,79.919998,81.419998,79.519997,81.279999,78.346527,3055000
2018-03-05,80.730003,82.580002,80.570000,82.269997,79.300797,2532400
2018-03-06,82.830002,83.269997,82.010002,83.070000,80.071930,2907500
2018-03-07,82.690002,83.559998,82.410004,83.250000,80.245438,2706000
2018-03-08,83.650002,83.680000,82.660004,83.220001,80.216507,3340200
2018-03-09,83.620003,84.949997,83.510002,84.709999,81.652733,2997500
2018-03-12,84.620003,84.919998,83.800003,84.070000,81.035851,4499300
2018-03-13,84.570000,84.989998,83.519997,83.790001,80.765945,2279600
2018-03-14,84.010002,84.620003,83.449997,83.629997,80.611725,2255200
2018-03-15,83.750000,85.099998,83.680000,84.830002,81.768433,2969500
2018-03-16,84.800003,85.000000,84.230003,84.599998,81.546722,4534900
2018-03-19,84.370003,84.760002,82.949997,83.809998,80.785233,3304900
2018-03-20,84.029999,84.690002,83.910004,84.309998,81.267197,3145900
2018-03-21,84.250000,84.570000,83.050003,83.349998,80.341835,3721200
2018-03-22,82.510002,83.000000,80.660004,80.970001,78.047745,5454000
2018-03-23,81.059998,81.459999,79.199997,79.260002,76.399460,3093600
2018-03-26,80.660004,81.870003,79.650002,81.629997,78.683907,3639000
2018-03-27,82.290001,82.739998,79.339996,80.080002,77.189842,3387800
2018-03-28,80.389999,80.889999,79.379997,79.669998,76.794640,3753300
2018-03-29,80.099998,81.610001,79.769997,80.500000,77.594696,4755600
2018-04-02,80.459999,81.269997,78.459999,79.209999,76.351242,4708300
2018-04-03,79.919998,80.720001,78.989998,80.050003,77.160934,3700200
2018-04-04,78.620003,81.180000,78.580002,80.720001,77.806763,3972700
2018-04-05,81.050003,81.480003,80.059998,80.919998,77.999535,2378900
2018-04-06,80.309998,80.860001,78.540001,79.070000,76.216301,3552900
2018-04-09,79.430000,80.230003,78.870003,78.910004,76.062080,3278000
2018-04-10,80.300003,81.080002,80.099998,80.400002,77.498306,3190800
2018-04-11,79.650002,80.260002,79.459999,79.930000,77.045265,2499300
2018-04-12,80.379997,81.849998,80.080002,81.550003,78.606796,3619300
2018-04-13,82.230003,82.230003,80.190002,80.820000,77.903145,2784700
2018-04-16,81.489998,82.260002,81.000000,81.769997,78.818848,2269400
2018-04-17,82.389999,82.500000,81.480003,82.190002,79.223701,3568900
2018-04-18,82.449997,83.150002,81.629997,82.699997,79.715286,2577200
2018-04-19,82.559998,83.239998,82.089996,82.370003,79.397209,2161100
2018-04-20,82.190002,82.559998,81.389999,81.769997,78.818848,3053400
2018-04-23,81.980003,82.199997,81.230003,81.570000,78.626060,2130700
2018-04-24,82.169998,82.320000,80.349998,80.800003,77.883865,3017200
2018-04-25,80.589996,81.150002,79.910004,80.910004,77.989899,2642700
2018-04-26,81.330002,81.809998,80.790001,81.730003,78.780289,3223800
2018-04-27,81.860001,82.680000,81.519997,81.620003,78.674271,2227300
2018-04-30,82.010002,82.500000,81.720001,81.820000,78.867043,2642900
2018-05-01,81.779999,82.169998,81.459999,81.820000,78.867043,2213400
2018-05-02,81.680000,82.180000,81.120003,81.379997,78.442940,3100200
2018-05-03,80.949997,81.570000,80.080002,81.360001,78.423653,3338400
2018-05-04,81.040001,82.610001,80.720001,82.169998,79.204422,3799600
2018-05-07,78.730003,78.879997,76.830002,77.860001,75.049965,9362800
2018-05-08,77.610001,77.900002,75.050003,75.550003,72.823341,7551000
2018-05-09,75.860001,75.970001,74.760002,75.029999,72.322090,6849500
2018-05-10,75.389999,76.379997,75.199997,75.949997,73.208900,3198700
2018-05-11,75.830002,76.989998,75.779999,76.580002,73.816177,3678700
2018-05-14,76.370003,76.830002,75.440002,75.860001,73.122154,3991900
2018-05-15,75.669998,76.330002,75.010002,75.459999,72.736595,2997600
2018-05-16,75.570000,75.900002,75.169998,75.389999,72.669121,2374600
2018-05-17,75.050003,76.209999,74.970001,75.779999,73.045029,3605700
2018-05-18,75.919998,76.699997,75.550003,76.040001,73.295662,3210500
2018-05-21,76.320000,76.809998,75.500000,75.750000,73.208679,1912900
2018-05-22,75.910004,76.029999,75.139999,75.239998,72.908287,4025500
2018-05-23,74.980003,75.800003,74.860001,75.760002,73.412163,2844600
2018-05-24,75.910004,76.400002,75.470001,75.930000,73.576897,3006400
2018-05-25,75.980003,76.040001,75.050003,75.779999,73.431541,2872500
2018-05-29,75.470001,75.480003,73.970001,74.410004,72.104012,3543500
2018-05-30,74.599998,76.029999,74.500000,75.690002,73.344330,3449600
2018-05-31,74.919998,76.220001,74.919998,75.349998,73.014870,6622200
2018-06-01,75.779999,77.220001,75.769997,76.870003,74.487770,3089200
2018-06-04,76.860001,77.449997,76.720001,77.220001,74.826927,2800100
2018-06-05,77.360001,77.400002,76.669998,77.029999,74.642807,2295800
2018-06-06,77.169998,78.169998,77.099998,78.139999,75.718407,2753500
2018-06-07,78.040001,78.199997,76.110001,76.720001,74.342415,3468500
2018-06-08,76.580002,77.129997,75.940002,77.110001,74.720322,2504700
2018-06-11,77.070000,77.779999,76.610001,76.970001,74.584663,1917200
2018-06-12,76.970001,78.300003,76.949997,78.250000,75.824989,3764800
2018-06-13,77.230003,79.059998,77.230003,78.019997,75.602119,3484300
2018-06-14,78.150002,78.970001,78.110001,78.550003,76.115700,3198400
