Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,74.599998,76.269997,74.389999,75.879997,68.362617,9179900
2017-12-12,76.050003,76.160004,74.250000,76.089996,68.551811,9281600
2017-12-13,76.309998,77.150002,76.269997,76.580002,68.993279,9968800
2017-12-14,76.000000,76.470001,74.070000,74.339996,67.433075,9055400
2017-12-15,75.000000,75.730003,74.099998,75.570000,68.548798,15367200
2017-12-18,76.029999,76.480003,75.010002,75.129997,68.149681,9986600
2017-12-19,75.059998,75.339996,74.260002,74.349998,67.442154,6737600
2017-12-20,73.529999,74.730003,73.419998,74.010002,67.133743,7349500
2017-12-21,73.730003,74.370003,72.930000,73.019997,66.235710,7196100
2017-12-22,72.800003,73.349998,72.370003,72.709999,65.954514,6560200
2017-12-26,72.580002,73.059998,72.309998,72.699997,65.945450,4471400
2017-12-27,72.730003,73.430000,72.559998,72.980003,66.199440,3933900
2017-12-28,73.029999,73.169998,72.040001,72.480003,65.745888,4624200
2017-12-29,72.309998,72.750000,71.610001,71.639999,64.983940,7370700
2018-01-02,72.190002,74.269997,71.720001,74.099998,67.215378,7905100
2018-01-03,74.050003,74.839996,73.330002,74.660004,67.723351,6640000
2018-01-04,75.000000,75.070000,73.559998,73.900002,67.033958,5074600
2018-01-05,74.169998,74.540001,73.029999,74.519997,67.596367,7901100
2018-01-08,74.339996,74.720001,73.440002,74.400002,67.487503,5858500
2018-01-09,74.610001,78.680000,74.570000,78.099998,70.843735,14824100
2018-01-10,78.099998,78.870003,77.010002,78.709999,71.397064,10150400
2018-01-11,78.699997,79.680000,77.870003,79.059998,71.714539,7872900
2018-01-12,79.339996,79.400002,78.650002,79.019997,71.678253,6366200
2018-01-16,79.750000,81.589996,79.519997,80.250000,72.793983,11750200
2018-01-17,80.709999,82.070000,80.209999,81.739998,74.145546,11162800
2018-01-18,81.470001,81.650002,80.769997,81.169998,73.628502,8527500
2018-01-19,81.300003,81.529999,80.370003,80.980003,73.456161,7920900
2018-01-22,81.309998,82.050003,81.050003,81.410004,73.846207,7464500
2018-01-23,81.230003,82.180000,80.910004,80.949997,73.428955,7198800
2018-01-24,81.290001,82.070000,80.580002,81.300003,73.746437,4530500
2018-01-25,81.580002,81.839996,80.849998,81.190002,73.646652,4708000
2018-01-26,81.959999,85.489998,81.879997,85.459999,77.519928,14617200
2018-01-29,85.120003,89.540001,85.120003,88.800003,80.549591,19411600
2018-01-30,88.019997,88.330002,86.269997,87.290001,79.179893,14001200
2018-01-31,86.599998,87.099998,83.290001,83.800003,76.014153,12790800
2018-02-01,83.199997,84.160004,81.180000,83.489998,75.732941,7305100
2018-02-02,82.650002,83.339996,81.480003,81.730003,74.136459,9356300
2018-02-05,81.400002,82.500000,78.339996,78.370003,71.088661,10810400
2018-02-06,77.349998,80.610001,76.900002,80.379997,72.911896,13287400
2018-02-07,79.669998,84.580002,79.349998,82.760002,75.070778,20315600
2018-02-08,82.440002,82.849998,78.070000,78.220001,70.952599,13853700
2018-02-09,78.900002,79.949997,76.019997,79.320000,71.950386,13746400
